name,type,ownership,city,state,aka,slug
Government Polytechnic College,affiliated_college,government,Pudukkottai,Tamil Nadu,1-46225068299,government-polytechnic-college-1-46225068299
Jainee College of Engineering and Technology,affiliated_college,private_unaided,Dindigul,Tamil Nadu,1-46225632812,jainee-college-of-engineering-and-technology
Meenakshi Ramaswamy Engineering College,affiliated_college,private_unaided,Ariyalur,Tamil Nadu,1-46225979347,meenakshi-ramaswamy-engineering-college
MNSK College of Engineering,affiliated_college,private_unaided,Pudukkottai,Tamil Nadu,1-46225982235,mnsk-college-of-engineering
Amrita Vishwa Vidyapeetham Coimbatore Campus,deemed_university,trust_society,Coimbatore,Tamil Nadu,1-46226061455,amrita-vishwa-vidyapeetham-coimbatore-campus
"HOLY Cross College(Autonomous), Tiruchirappalli - 620 002",affiliated_college,private_unaided,Tiruchirappalli,Tamil Nadu,1-46226329294,holy-cross-college-autonomous-tiruchirappalli-620-002
Nehru College of Management,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46226329693,nehru-college-of-management
Thanthai Periyar Government ARTS and Science College,affiliated_college,government,Tiruchirappalli,Tamil Nadu,1-46226702070,thanthai-periyar-government-arts-and-science-college
SREE Kumaraguru Polytechnic College,affiliated_college,private_unaided,Dharmapuri,Tamil Nadu,1-46224671199,sree-kumaraguru-polytechnic-college
SRI Kaliswari Institute of Management and Technology,affiliated_college,private_unaided,Virudhunagar,Tamil Nadu,1-46225818791,sri-kaliswari-institute-of-management-and-technology
JCT College of Engineering and Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46226535382,jct-college-of-engineering-and-technology
Sapthagiri College of Engineering,affiliated_college,private_unaided,Dharmapuri,Tamil Nadu,1-46224517205,sapthagiri-college-of-engineering
"Government Polytechnic College, Jolarpet",affiliated_college,government,Vellore,Tamil Nadu,1-46224517638,government-polytechnic-college-jolarpet
Hindusthan College of Engineering and Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46226075587,hindusthan-college-of-engineering-and-technology
Mookambigai College of Engineering,affiliated_college,private_unaided,Pudukkottai,Tamil Nadu,1-46227115246,mookambigai-college-of-engineering
SNS College of Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46226556184,sns-college-of-technology
