name,type,ownership,city,state,aka,slug
Government Polytechnic Diglipur,affiliated_college,government,Andamans,Andaman and Nicobar Islands,1-46215645790,government-polytechnic-diglipur
Dr. B.R. Ambedkar Institute of Technology,affiliated_college,government,PORT Blair,Andaman and Nicobar Islands,1-46224313979,dr-b-r-ambedkar-institute-of-technology
Andaman Nicobar Collge Ancol,affiliated_college,government,PORT Blair,Andaman and Nicobar Islands,1-46282267015,andaman-nicobar-collge-ancol
Jawaharlal Nehru Rajkeeya Mahavidyalaya,affiliated_college,government,PORT Blair,Andaman and Nicobar Islands,1-46281625942,jawaharlal-nehru-rajkeeya-mahavidyalaya
Narayana Institute of Management,affiliated_college,private_unaided,Anantapur,Andhra Pradesh,1-46209014717,narayana-institute-of-management
"Government Polytechnic,Kavali,Nellore DIST Andhrapradesh",affiliated_college,government,Nellore,Andhra Pradesh,1-46218327479,government-polytechnic-kavali-nellore-dist-andhrapradesh
Aksharaa Polytechnic,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46219195951,aksharaa-polytechnic
Government Polytechnic for Minorities,affiliated_college,government,Kurnool,Andhra Pradesh,1-46218328532,government-polytechnic-for-minorities
Andhra Polytechnic,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46219042201,andhra-polytechnic
Chirala Engineering College,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46219042900,chirala-engineering-college
Tirumala Engineering College,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46219518867,tirumala-engineering-college
Simhadhri Educational Society Group of Institutions,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218353878,simhadhri-educational-society-group-of-institutions
Govt Institute of Textile Technology,affiliated_college,government,Guntur,Andhra Pradesh,1-46219223639,govt-institute-of-textile-technology
Rgukt- RK Valley,state_university,government,YSR District,Andhra Pradesh,1-46218172013,rgukt-rk-valley
SUVR & SR Government Polytechnic for Women,affiliated_college,government,Prakasam,Andhra Pradesh,1-46219064457,suvr-sr-government-polytechnic-for-women
Andhra Loyola College,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46219064865,andhra-loyola-college
D a Governement Polytechnic,affiliated_college,government,Prakasam,Andhra Pradesh,1-46218172969,d-a-governement-polytechnic
Ravindra College of Engineering for Women,affiliated_college,private_unaided,Kurnool,Andhra Pradesh,1-46218187265,ravindra-college-of-engineering-for-women
S.V.Arts & Science College,affiliated_college,private_unaided,Nellore,Andhra Pradesh,1-46218187826,s-v-arts-science-college
"Government Polytechnic, Parvathipuram.",affiliated_college,government,Vizianagaram,Andhra Pradesh,1-46218380053,government-polytechnic-parvathipuram
SRI G Pulla Reddy Government Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46218380395,sri-g-pulla-reddy-government-polytechnic
Government Polytechnic,affiliated_college,government,Anantapur,Andhra Pradesh,1-46219094896,government-polytechnic
Government Model Residential Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46218209827,government-model-residential-polytechnic
SREE Mullapudi Venkataraya Memorial Polytechnic,affiliated_college,private_unaided,WEST Godavari,Andhra Pradesh,1-46218209936,sree-mullapudi-venkataraya-memorial-polytechnic
Government Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46218407399,government-polytechnic-1-46218407399
Government Polytechnic Gannavaram,affiliated_college,government,Krishna,Andhra Pradesh,1-46219273671,government-polytechnic-gannavaram
"Government Polytechnic, Rayadurg",affiliated_college,government,Anantapur,Andhra Pradesh,1-46219716905,government-polytechnic-rayadurg
"Govt. Polytechnic,Madakasira, Govt. of A.P",affiliated_college,government,Anantapur,Andhra Pradesh,1-46218408144,govt-polytechnic-madakasira-govt-of-a-p
Miracle Educational Society Group of Institutions,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46219116401,miracle-educational-society-group-of-institutions
B V C College of Engineering,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46218409004,b-v-c-college-of-engineering
E S C Govt. Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46219301405,e-s-c-govt-polytechnic
VEMU Institute of Technology,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46219452282,vemu-institute-of-technology
Visakha Institute for Profes Sional Studies,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218236597,visakha-institute-for-profes-sional-studies
S.V.Government Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46218764676,s-v-government-polytechnic
Government Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46219301801,government-polytechnic-1-46219301801
Government Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46220062503,government-polytechnic-1-46220062503
"Dr. Y.C.James YEN Govt. Polytechnic, Kuppam",affiliated_college,government,Chittoor,Andhra Pradesh,1-46224194364,dr-y-c-james-yen-govt-polytechnic-kuppam
Government Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46218797656,government-polytechnic-1-46218797656
Government Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46218983276,government-polytechnic-1-46218983276
SIR C Ramalinga Reddy Polytechnic,affiliated_college,private_unaided,WEST Godavari,Andhra Pradesh,1-46219302269,sir-c-ramalinga-reddy-polytechnic
Yalamanchili Janardhana RAO Daita Madhusudana Sastry College of Engineering,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46219621739,yalamanchili-janardhana-rao-daita-madhusudana-sastry-college-of-engineering
"Government Polytechnic, Pillaripattu",affiliated_college,government,Chittoor,Andhra Pradesh,1-46218270060,government-polytechnic-pillaripattu
SAI Ganapathi Polytechnic,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218457524,sai-ganapathi-polytechnic
Government Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46218984711,government-polytechnic-1-46218984711
Government Polytechnic for Women,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46219163311,government-polytechnic-for-women
Hindu College of Engineering and Technology,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46219302966,hindu-college-of-engineering-and-technology
Government Polytechnic,affiliated_college,government,Nellore,Andhra Pradesh,1-46218270965,government-polytechnic-1-46218270965
Royal School of Information & Management Sciences,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46218271120,royal-school-of-information-management-sciences
"Jntu-Gv College of Engineering, Vizianagaram",affiliated_college,government,Vizianagaram,Andhra Pradesh,1-46218303231,jntu-gv-college-of-engineering-vizianagaram
Sreenivasa Institute of Technology and Management Studies,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46218984870,sreenivasa-institute-of-technology-and-management-studies
SPKM Indian Institute of Handloom Technology,affiliated_college,government,Nellore,Andhra Pradesh,1-46219163909,spkm-indian-institute-of-handloom-technology
Gayatri Vidya Parishad College of Engineering,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218483241,gayatri-vidya-parishad-college-of-engineering
Govt.Model Resedential Polytechnic,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46219010448,govt-model-resedential-polytechnic
Godavari Institute of Engineering & Technology,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46219509912,godavari-institute-of-engineering-technology
Government Polytechnic for Women,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46222031701,government-polytechnic-for-women-1-46222031701
Government Polytechnic,affiliated_college,government,Prakasam,Andhra Pradesh,1-46222376125,government-polytechnic-1-46222376125
Kalyani MCA College,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46222751630,kalyani-mca-college
DCRM PG College (MBA),affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46220557123,dcrm-pg-college-mba
SRI Krishnadevaraya University College of Engineering and Technology,state_university,government,Anantapur,Andhra Pradesh,1-46220888581,sri-krishnadevaraya-university-college-of-engineering-and-technology
PACE Institute of Technology and Sciences,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46222854062,pace-institute-of-technology-and-sciences
Government Polytechnic for Women,affiliated_college,government,YSR District,Andhra Pradesh,1-46222203433,government-polytechnic-for-women-1-46222203433
Govt Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46222567787,govt-polytechnic
Government Polytechnic,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46222568213,government-polytechnic-1-46222568213
SAI Rajeswari Institute of Technology,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46222568273,sai-rajeswari-institute-of-technology
Alwar Polytechnic,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46222752523,alwar-polytechnic
Government Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46220580224,government-polytechnic-1-46220580224
Global Institute of Management and Technology,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46220763311,global-institute-of-management-and-technology
SMT. T.K.R. Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46220921312,smt-t-k-r-polytechnic
Behara Technical Campus(Behara Polytechnic),affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46221310055,behara-technical-campus-behara-polytechnic
A.A.N.M. & V.V.R.S.R. Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46221310442,a-a-n-m-v-v-r-s-r-polytechnic
University College of Engineering Kakinada,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46223180063,university-college-of-engineering-kakinada
Government Model Residential Polytechnic,affiliated_college,government,WEST Godavari,Andhra Pradesh,1-46222568794,government-model-residential-polytechnic-1-46222568794
Krishnaveni Exhibition Societys Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46222753083,krishnaveni-exhibition-societys-polytechnic
Government Polytechnic,affiliated_college,government,Anantapur,Andhra Pradesh,1-46222753188,government-polytechnic-1-46222753188
Gayatri Vidya Parishad College of Engineering for Women,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46221711340,gayatri-vidya-parishad-college-of-engineering-for-women
SRI Jyothi Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46222404309,sri-jyothi-polytechnic
Govt.Polytechnic,affiliated_college,government,Anantapur,Andhra Pradesh,1-46222589738,govt-polytechnic-1-46222589738
Government Polytechnic-Seethampeta,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46222590453,government-polytechnic-seethampeta
T V R Polytechnic,affiliated_college,private_unaided,Srikakulam,Andhra Pradesh,1-46222786743,t-v-r-polytechnic
Loyola Polytechnic (YSRR),affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46220604772,loyola-polytechnic-ysrr
Government Polytechnic,affiliated_college,government,Guntur,Andhra Pradesh,1-46223180942,government-polytechnic-1-46223180942
Sraddaha College of Diploma in ENG & Technology,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46222232855,sraddaha-college-of-diploma-in-eng-technology
Government Polytechnic for Women,affiliated_college,government,Guntur,Andhra Pradesh,1-46222431651,government-polytechnic-for-women-1-46222431651
Government Polytechnic for Minorities,affiliated_college,government,Guntur,Andhra Pradesh,1-46220790532,government-polytechnic-for-minorities-1-46220790532
Parvathareddy Babulreddy Visvodaya Institute of Technology and Science,affiliated_college,private_unaided,Nellore,Andhra Pradesh,1-46223027898,parvathareddy-babulreddy-visvodaya-institute-of-technology-and-science
Dr.B.R.A.G.M.R.Polytechnic,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46222449232,dr-b-r-a-g-m-r-polytechnic
Govt.Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46222619880,govt-polytechnic-1-46222619880
DBB Institute of PG Studies,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46220791197,dbb-institute-of-pg-studies
Krishna Chaitanya Institute of Management,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46220980015,krishna-chaitanya-institute-of-management
Chadalawada Ramanamma Engineering College,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46223028920,chadalawada-ramanamma-engineering-college
Government Polytechnic Mydukur,affiliated_college,government,YSR District,Andhra Pradesh,1-46223043903,government-polytechnic-mydukur
Govenment Polytechnic,affiliated_college,government,Krishna,Andhra Pradesh,1-46220462913,govenment-polytechnic
Seshachala Institute of Engineering & Technology,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46220641978,seshachala-institute-of-engineering-technology
Government Polytecnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46220642166,government-polytecnic
"Dr. YSR Government Polytechnic, Kalidindi",affiliated_college,government,Krishna,Andhra Pradesh,1-46220814021,dr-ysr-government-polytechnic-kalidindi
MRS. a V N College,affiliated_college,government_aided,Vishakhapatnam,Andhra Pradesh,1-46221789292,mrs-a-v-n-college
SRI Kalahastiswara Institute of Information and Management Sciences (Skiims),affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46222481620,sri-kalahastiswara-institute-of-information-and-management-sciences-skiims
Vikas Polytechnic College,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46220814984,vikas-polytechnic-college
"Govt. Polytechnic for Women, Hindupur, Govt. of A.P",affiliated_college,government,Anantapur,Andhra Pradesh,1-46221010240,govt-polytechnic-for-women-hindupur-govt-of-a-p
"Col.D.S.Raju Polytechnic,",affiliated_college,private_unaided,WEST Godavari,Andhra Pradesh,1-46221211912,col-d-s-raju-polytechnic
Swamy Vivekananda Polytechnic,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46222126122,swamy-vivekananda-polytechnic
SRI Vaddamanu Chidanandam Memorial Polytechnic,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46222313546,sri-vaddamanu-chidanandam-memorial-polytechnic
Government Polytechnic Tekkali,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46222313807,government-polytechnic-tekkali
Nuzvid Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46221010645,nuzvid-polytechnic
Rayalaseema Institute of Information and Management Sciences (MBA College),affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46221981212,rayalaseema-institute-of-information-and-management-sciences-mba-college
Vikas Polytechnic College,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46222314389,vikas-polytechnic-college-1-46222314389
Y.S.R. Engineering College of Y.V.U.,affiliated_college,government,YSR District,Andhra Pradesh,1-46221213107,y-s-r-engineering-college-of-y-v-u
"Govt. Polytechnic,Dharmavaram, Govt. of A.P",affiliated_college,government,Anantapur,Andhra Pradesh,1-46221982797,govt-polytechnic-dharmavaram-govt-of-a-p
"Ch.S.D.St.Theresa'S College for Women, Eluru",affiliated_college,private_unaided,WEST Godavari,Andhra Pradesh,1-46222126995,ch-s-d-st-theresa-s-college-for-women-eluru
Government Polytechnic,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46220865739,government-polytechnic-1-46220865739
Seshachala Polytechnic College,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46221042397,seshachala-polytechnic-college
VRN College of Computer Science and Management,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46221238798,vrn-college-of-computer-science-and-management
M.B.T.S. Government Polytechnic,affiliated_college,government,Guntur,Andhra Pradesh,1-46221997417,m-b-t-s-government-polytechnic
Dr Lankapalli Bullayya College,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46222088145,dr-lankapalli-bullayya-college
Chaitanya Institute of Science and Technology,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46222157659,chaitanya-institute-of-science-and-technology
"Government Polytechnic, Satyavedu",affiliated_college,government,Chittoor,Andhra Pradesh,1-46222347526,government-polytechnic-satyavedu
Bellamkonda Polytechnic College,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46222512602,bellamkonda-polytechnic-college
Govt. Polytechnic,affiliated_college,government,WEST Godavari,Andhra Pradesh,1-46220867045,govt-polytechnic-1-46220867045
G B R Degree College (P G Courses),affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46221239134,g-b-r-degree-college-p-g-courses
SRI Datta SAI School of Business,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46221998540,sri-datta-sai-school-of-business
Jntua College of Engineering,affiliated_college,government,Anantapur,Andhra Pradesh,1-46222088687,jntua-college-of-engineering
Yalamarty College of Polytechnic,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46220887669,yalamarty-college-of-polytechnic
Balaji Institute of IT and Management,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46221264288,balaji-institute-of-it-and-management
Planet Finance Business School,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46222106448,planet-finance-business-school
SREE Venkateswara College of Engineering,affiliated_college,private_unaided,Nellore,Andhra Pradesh,1-46222179557,sree-venkateswara-college-of-engineering
Government Polytechnic for Women,affiliated_college,government,Nellore,Andhra Pradesh,1-46220888047,government-polytechnic-for-women-1-46220888047
Government Model Residential Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46216782723,government-model-residential-polytechnic-1-46216782723
Maharaja Ananda Gajapathi RAJU Government Polytechnic,affiliated_college,government,Vizianagaram,Andhra Pradesh,1-46216783108,maharaja-ananda-gajapathi-raju-government-polytechnic
"Government Polytechnic for Women, Nandigama",affiliated_college,government,Krishna,Andhra Pradesh,1-46217167880,government-polytechnic-for-women-nandigama
"Government Model Residential Polytechnic, Rampachodavaram",affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46217332613,government-model-residential-polytechnic-rampachodavaram
Pragathi Polytechinic College,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46216811488,pragathi-polytechinic-college
Government Polytechnic,affiliated_college,government,WEST Godavari,Andhra Pradesh,1-46217168483,government-polytechnic-1-46217168483
Government Model Residential Polytechnic,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46217364033,government-model-residential-polytechnic-1-46217364033
D.L.R College PG Courses (MBA Programe),affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46216837281,d-l-r-college-pg-courses-mba-programe
SREE Vyshnavi M.B.A.College,affiliated_college,private_unaided,Anantapur,Andhra Pradesh,1-46215957739,sree-vyshnavi-m-b-a-college
"Spatial Information Technology,Ist,Jntuk",affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46216650106,spatial-information-technology-ist-jntuk
School of FOOD Technology,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46223868883,school-of-food-technology
"SMT. Satrucharla Sasikala DEVI Government Polytechnic, Chinamerangi",affiliated_college,government,Vizianagaram,Andhra Pradesh,1-46223893229,smt-satrucharla-sasikala-devi-government-polytechnic-chinamerangi
Vasavi Polytechnic,affiliated_college,private_unaided,Kurnool,Andhra Pradesh,1-46216838331,vasavi-polytechnic
Vijaya Institute of Technology for Women,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46216838650,vijaya-institute-of-technology-for-women
"Govt Polytechnic,Vempalli",affiliated_college,government,YSR District,Andhra Pradesh,1-46217035644,govt-polytechnic-vempalli
SRI Mittapalli College of Engineering,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46217390457,sri-mittapalli-college-of-engineering
Government Polytechnic for Women,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46223893332,government-polytechnic-for-women-1-46223893332
Noble Institute of Science and Technology,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46224066020,noble-institute-of-science-and-technology
Avanthi Polytechnic College,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46223803702,avanthi-polytechnic-college
Aries Polytechnic College,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46223803911,aries-polytechnic-college
University College of Engineering Narasaraopet,affiliated_college,government,Guntur,Andhra Pradesh,1-46216112477,university-college-of-engineering-narasaraopet
Government Institute of Chemical Engineering,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46217036435,government-institute-of-chemical-engineering
Jntua College of Engineering Pulivendula,affiliated_college,government,YSR District,Andhra Pradesh,1-46223805082,jntua-college-of-engineering-pulivendula
SIR C.V.Raman Institute of Management Studies,affiliated_college,private_unaided,Anantapur,Andhra Pradesh,1-46217061886,sir-c-v-raman-institute-of-management-studies
Thandra Paparaya Polytechnic,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46217421279,thandra-paparaya-polytechnic
Government Polytechnic,affiliated_college,government,Anantapur,Andhra Pradesh,1-46223895026,government-polytechnic-1-46223895026
Bapatla Polytechnic,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46223435853,bapatla-polytechnic
School of Biotechnology,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46224036924,school-of-biotechnology
Jntua College of Engineering Kalikiri,affiliated_college,government,Chittoor,Andhra Pradesh,1-46215826084,jntua-college-of-engineering-kalikiri
Vikas Group of Institutions,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46216159571,vikas-group-of-institutions
Government Polytechnic for Women,affiliated_college,government,Chittoor,Andhra Pradesh,1-46223949296,government-polytechnic-for-women-1-46223949296
Mother Theresa Institute of Engineering and Technology,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46215827009,mother-theresa-institute-of-engineering-and-technology
SRI Venkateswara College of Engineering,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46215503695,sri-venkateswara-college-of-engineering
Satya Institute of Technology and Managemnet,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46215851755,satya-institute-of-technology-and-managemnet
St. Mary'S Group of Institutions Guntur for Women,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46216187447,st-mary-s-group-of-institutions-guntur-for-women
Government Institute of Ceramic Technology,affiliated_college,government,Nellore,Andhra Pradesh,1-46216919722,government-institute-of-ceramic-technology
"Govt.Polytechnic ,Repalle",affiliated_college,government,Guntur,Andhra Pradesh,1-46217278883,govt-polytechnic-repalle
Benaiah Institute of Technology & Sciences,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46215679714,benaiah-institute-of-technology-sciences
SAI Ranga Polytechnic,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46215680518,sai-ranga-polytechnic
SRI Padmavathi Womens Polytechnic,affiliated_college,government_aided,Chittoor,Andhra Pradesh,1-46216374193,sri-padmavathi-womens-polytechnic
Government Polytechnic,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46216754189,government-polytechnic-1-46216754189
USHA RAMA College of Engineering and Technology,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46217458761,usha-rama-college-of-engineering-and-technology
Wings Business School,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46223977597,wings-business-school
Benaiah Institute of Technology & Science,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46223977844,benaiah-institute-of-technology-science
Sumourya Institute of Management,affiliated_college,private_unaided,Kurnool,Andhra Pradesh,1-46215701252,sumourya-institute-of-management
Lendi Institute of Engineering and Technology,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46216374481,lendi-institute-of-engineering-and-technology
Pnc&Kr College of PG Courses,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46216951204,pnc-kr-college-of-pg-courses
Jntua School of Management Studies,affiliated_college,government,Anantapur,Andhra Pradesh,1-46217304373,jntua-school-of-management-studies
Government Polytechnic Pendurthi,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46215880312,government-polytechnic-pendurthi
Balajee Polytechnic,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46217141513,balajee-polytechnic
Sanketika Polytechnic College,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46217142002,sanketika-polytechnic-college
Sanskrithi School of Engineering,affiliated_college,private_unaided,Anantapur,Andhra Pradesh,1-46217304719,sanskrithi-school-of-engineering
Government Polytechnic,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46223727634,government-polytechnic-1-46223727634
Government Polytechnic,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46216782234,government-polytechnic-1-46216782234
MJR Institute of Business Management,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46217331370,mjr-institute-of-business-management
"Government Model Residential Polytechnic, Gummalaxmipuram",affiliated_college,government,Vizianagaram,Andhra Pradesh,1-46217331462,government-model-residential-polytechnic-gummalaxmipuram
"Government Polytechnic, Draksharamam",affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46217331731,government-polytechnic-draksharamam
EDGE International B School,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46224002141,edge-international-b-school
Vijayam Business School,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46209670835,vijayam-business-school
Shree Vivekananda Institute of Science,affiliated_college,private_unaided,Anantapur,Andhra Pradesh,1-46210012239,shree-vivekananda-institute-of-science
Bheemireddy Institute of Management Science,affiliated_college,private_unaided,Kurnool,Andhra Pradesh,1-46210832996,bheemireddy-institute-of-management-science
Rajiv Gandhi University of Knowledge Technologies Dr a P J Abdul Kalam IIIT Ongole,state_university,government,YSR District,Andhra Pradesh,1-46210332989,rajiv-gandhi-university-of-knowledge-technologies-dr-a-p-j-abdul-kalam-iiit-ongole
Rgukt Srikakulam,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46210851967,rgukt-srikakulam
YOGI Vemana University,state_university,government,YSR District,Andhra Pradesh,1-46209063362,yogi-vemana-university
Visakha Institute of Management Science,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46210852405,visakha-institute-of-management-science
Gandhi Institute of Technology and Management Gitam Visakhapatnam,deemed_university,trust_society,Visakhapatnam,Andhra Pradesh,1-46215341984,gandhi-institute-of-technology-and-management-gitam-visakhapatnam
Adikavi Nannaya University,state_university,government,EAST Godavari,Andhra Pradesh,1-46209064985,adikavi-nannaya-university
ASK College of Technology and Management,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46210202946,ask-college-of-technology-and-management
Government Polytechnic Chodavaram,affiliated_college,government,Visakhapatnam,Andhra Pradesh,1-46210203129,government-polytechnic-chodavaram
Tadipatri Engineering College,affiliated_college,private_unaided,Anantapur,Andhra Pradesh,1-46210379836,tadipatri-engineering-college
Andhra University College of Engineering for Women,state_university,government,Vishakhapatnam,Andhra Pradesh,1-46215042515,andhra-university-college-of-engineering-for-women
Amrita Vishwa Vidyapeetham Amaravati Campus,deemed_university,trust_society,Guntur,Andhra Pradesh,1-46209091796,amrita-vishwa-vidyapeetham-amaravati-campus
Dr Lankapalli Bullayya College of Engineering,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46210070143,dr-lankapalli-bullayya-college-of-engineering
Centre for Management & Technology (CMT),affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46210070401,centre-for-management-technology-cmt
Andhra Engineering College,affiliated_college,private_unaided,Nellore,Andhra Pradesh,1-46210894360,andhra-engineering-college
Global Institute of Business Management,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46210894655,global-institute-of-business-management
Nadimpalli Satyanarayana RAJU Institute of Technology,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46211078784,nadimpalli-satyanarayana-raju-institute-of-technology
Krishna University,state_university,government,Krishna,Andhra Pradesh,1-46215200852,krishna-university
Government Polytechnic Bethamcherla,affiliated_college,government,Kurnool,Andhra Pradesh,1-46209111449,government-polytechnic-bethamcherla
Srinivasa Polytechinc College,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46209439370,srinivasa-polytechinc-college
Central Institute of Petrochemicals Engineering and Technology Vijayawada,affiliated_college,government,Krishna,Andhra Pradesh,1-46210725082,central-institute-of-petrochemicals-engineering-and-technology-vijayawada
Srinivasa Institute of Management,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46210895040,srinivasa-institute-of-management
